"etternavn"	"Personer 2021"
"Helleland"	450
"Hellem"	493
"Hellenes"	209
"Helleren"	280
"Hellerud"	730
"Hellesø"	232
"Hellesøy"	.
"Hellevik"	424
"Helliesen"	226
"Hellstrøm"	211
"Hellum"	635
"Helmersen"	713
"Helset"	271
"Helseth"	550
"Helstad"	275
"Heltne"	306
"Helvik"	236
"Hem"	552
"Hemmingsen"	273
"Hemnes"	203
"Henden"	706
"Henningsen"	614
"Hennum"	386
"Henriksen"	11036
"Hepsø"	266
"Herdlevær"	212
"Herfindal"	202
"Herheim"	264
"Herigstad"	219
"Herland"	878
"Hermann"	.
"Hermansen"	3426
"Hernandez"	204
"Hernes"	820
"Hernæs"	234
"Herstad"	443
"Hervik"	237
"Hesjedal"	329
"Heskestad"	228
"Hesselberg"	202
"Hessen"	324
"Hestad"	536
"Hestenes"	217
"Hestetun"	228
"Hestnes"	660
"Hestvik"	298
"Hetland"	1852
"Heum"	.
"Hevrøy"	217
"Hexeberg"	211
"Heyerdahl"	442
"Hidle"	300
"Hilde"	246
"Hildre"	349
"Hildrum"	259
"Hille"	317
"Hilleren"	236
"Hillestad"	914
"Hilmarsen"	.
"Hilstad"	264
"Hindenes"	346
"Hinna"	247
"Hirsi"	205
"Hjelde"	262
"Hjelle"	1441
"Hjelm"	249
"Hjelmeland"	605
"Hjelseth"	294
"Hjelvik"	310
"Hjorth"	235
"Hjortland"	457
"Hjulstad"	217
"Hjønnevåg"	203
"Hjørnevik"	404
"Ho"	486
"Hoang"	436
"Hobberstad"	216
"Hoddevik"	341
"Hodne"	780
"Hodneland"	255
"Hodzic"	200
"Hoel"	2870
"Hoem"	1084
"Hoff"	2815
"Hoffmann"	349
"Hofseth"	380
"Hofstad"	895
"Hoftun"	215
"Hognestad"	472
"Hogstad"	626
"Hojem"	229
"Hokstad"	228
"Hol"	235
"Holand"	830
"Holberg"	621
"Holden"	701
"Hole"	1971
"Holen"	2141
"Holgersen"	509
"Hollund"	243
"Holm"	6516
"Holmberg"	459
"Holme"	745
"Holmedal"	451
"Holmefjord"	343
"Holmen"	2787
"Holmgren"	507
"Holmsen"	463
"Holmstrøm"	206
"Holmvik"	283
"Holmøy"	225
"Holsen"	424
"Holst"	1346
"Holstad"	848
"Holt"	1557
"Holta"	270
"Holtan"	754
"Holte"	1665
"Holten"	972
"Holter"	1413
"Holtet"	729
"Holth"	813
"Holthe"	1214
"Holum"	369
"Holvik"	435
"Homme"	640
"Honningsvåg"	314
"Hop"	216
"Hope"	1346
"Hopen"	449
"Hopland"	1041
"Hordvik"	254
"Horgen"	508
"Horn"	1037
"Horne"	471
"Hornnes"	239
"Horntvedt"	253
"Horpestad"	528
"Horten"	285
"Horvei"	306
"Hoseth"	269
"Hosseini"	406
"Hotvedt"	323
"Hov"	723
"Hovd"	212
"Hovda"	645
"Hovdal"	211
"Hovde"	1368
"Hovden"	1255
"Hove"	973
"Hoven"	.
"Hovin"	208
"Hovind"	458
"Hovland"	3438
"Huang"	240
"Hult"	207
"Hunnes"	200
"Hunstad"	460
"Hurlen"	317
"Husa"	393
"Husabø"	219
"Husby"	1841
"Huse"	1041
"Huseby"	1021
"Husebø"	835
"Husevåg"	295
"Hussain"	1922
"Hussaini"	213
"Hussein"	1955
"Hustad"	979
"Hustoft"	250
"Hustveit"	241
"Husum"	254
"Husøy"	501
"Huus"	327
"Huynh"	885
"Hval"	315
"Hvattum"	229
"Hveding"	300
"Hveem"	290
"Hvidsten"	932
"Hylland"	234
"Hynne"	451
"Hystad"	419
"Hægeland"	362
"Hætta"	548
"Høgberg"	234
"Høgli"	270
"Høglund"	.
"Høgset"	351
"Høgseth"	374
